station_id,hour_bucket,session_count,total_kwh,total_revenue_inr,avg_duration_hours,hour,day_of_week,is_weekend
2-39-123-23,2018-09-16 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-09-17 02:00:00,1,0.0,0.0,0.0,2,0,0
2-39-123-23,2018-09-17 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-09-18 01:00:00,1,0.0,0.0,0.0,1,1,0
2-39-123-23,2018-09-18 14:00:00,1,0.0,0.0,0.0,14,1,0
2-39-123-23,2018-09-19 02:00:00,1,0.0,0.0,0.0,2,2,0
2-39-123-23,2018-09-19 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-09-20 00:00:00,2,0.0,0.0,0.0,0,3,0
2-39-123-23,2018-09-20 01:00:00,1,0.0,0.0,0.0,1,3,0
2-39-123-23,2018-09-20 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-09-20 14:00:00,1,0.0,0.0,0.0,14,3,0
2-39-123-23,2018-09-21 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-09-22 18:00:00,1,0.0,0.0,0.0,18,5,1
2-39-123-23,2018-09-22 22:00:00,1,0.0,0.0,0.0,22,5,1
2-39-123-23,2018-09-23 01:00:00,1,0.0,0.0,0.0,1,6,1
2-39-123-23,2018-09-23 21:00:00,1,0.0,0.0,0.0,21,6,1
2-39-123-23,2018-09-24 14:00:00,1,0.0,0.0,0.0,14,0,0
2-39-123-23,2018-09-25 14:00:00,1,0.0,0.0,0.0,14,1,0
2-39-123-23,2018-09-26 13:00:00,1,0.0,0.0,0.0,13,2,0
2-39-123-23,2018-09-26 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-09-27 04:00:00,1,0.0,0.0,0.0,4,3,0
2-39-123-23,2018-09-27 18:00:00,1,0.0,0.0,0.0,18,3,0
2-39-123-23,2018-09-28 02:00:00,1,0.0,0.0,0.0,2,4,0
2-39-123-23,2018-09-28 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-09-29 17:00:00,1,0.0,0.0,0.0,17,5,1
2-39-123-23,2018-09-29 21:00:00,1,0.0,0.0,0.0,21,5,1
2-39-123-23,2018-09-30 21:00:00,1,0.0,0.0,0.0,21,6,1
2-39-123-23,2018-10-01 00:00:00,1,0.0,0.0,0.0,0,0,0
2-39-123-23,2018-10-01 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-10-01 18:00:00,1,0.0,0.0,0.0,18,0,0
2-39-123-23,2018-10-01 22:00:00,1,0.0,0.0,0.0,22,0,0
2-39-123-23,2018-10-02 00:00:00,1,0.0,0.0,0.0,0,1,0
2-39-123-23,2018-10-02 03:00:00,1,0.0,0.0,0.0,3,1,0
2-39-123-23,2018-10-02 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-10-03 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-10-03 02:00:00,1,0.0,0.0,0.0,2,2,0
2-39-123-23,2018-10-03 05:00:00,1,0.0,0.0,0.0,5,2,0
2-39-123-23,2018-10-03 06:00:00,1,0.0,0.0,0.0,6,2,0
2-39-123-23,2018-10-03 15:00:00,1,0.0,0.0,0.0,15,2,0
